Incident ID,Month,Year,State,FIPS,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
3029348,September,2024,Texas,48,San Antonio,600 N Ellison Dr,John Paul Stevens High School,0,0,0,0,"1"
3029797,September,2024,Texas,48,Houston,5051 Bellfort Ave,Bastian Elementary School,0,0,0,0,"1"
3029261,September,2024,New York,36,Corona (Queens),35-01 Union St,Flushing High School,0,0,0,0,"2"
3028272,September,2024,Georgia,13,Atlanta,Avenue Pl,Emory Atlanta Campus,0,0,0,0,"0"
3037826,September,2024,Louisiana,22,Monroe,2900 block of Renwick St,N/A,0,0,0,0,"1"
3027566,September,2024,Maryland,24,Waldorf,2040 St Thomas Dr,Benjamin Stoddert Middle School,0,0,0,0,"0"
3029708,September,2024,Ohio,39,Columbus,N High St,Ohio State University,0,0,0,0,"0"
3027867,September,2024,Indiana,18,Fort Wayne,1030 Swinney Ave,FWCS Amp Lab at Electric Works,0,0,0,0,"1"
3027589,September,2024,Texas,48,Bryan,3450 Campus Dr,Bryan High School,0,0,0,0,"1"
3027865,September,2024,New York,36,Staten Island,105 Hamilton Ave,Curtis High School,0,0,0,0,"1"
3027439,September,2024,Louisiana,22,Denham Springs,8444 Cecil Dr,Live Oak Middle School,0,0,0,0,"1"
3027897,September,2024,Ohio,39,Dayton (Huber Heights),5400 Chambersburg Rd,Wayne High School,0,0,0,0,"1"
3027879,September,2024,Kentucky,21,Smithland,750 US-60,Livingston Central High School,0,0,0,0,"0"
3027892,September,2024,Kentucky,21,Mount Sterling,3570 Indian Mound Dr,McNabb Middle School,0,0,0,0,"1"
3027743,September,2024,Minnesota,27,Saint Paul,1495 Rice St,Washington Technology Magnet School,0,1,0,0,"1"
3027678,September,2024,Texas,48,Arlington,2001 Van Buren Dr,Jones Academy,0,0,0,0,"0"
3027252,September,2024,New Mexico,35,Albuquerque,8100 Rainbow Blvd NW,Volcano Vista High School,0,0,0,0,"1"
3026559,September,2024,Missouri,29,Saint Louis (Overland),9229 Lackland Rd,Husky Academy,0,0,0,0,"1"
3027491,September,2024,Florida,12,Plant City,1202 W Grant St,Simmons Career Center,0,0,0,0,"1"
3027458,September,2024,Texas,48,El Paso,950 Bordeaux Dr,Del Valle High School,0,0,0,0,"2"
3026913,September,2024,Oregon,41,Central Point,4410 Rogue Valley Hwy,Crater High School,0,0,0,0,"1"
3025916,September,2024,Ohio,39,Columbus,John Herrick Dr and Olentangy River Rd,Ohio State University,0,1,0,0,"1"
3026589,September,2024,Michigan,26,Southfield,24675 Lahser Rd,Southfield High School for the Arts and Technology,0,0,0,0,"1"
3025615,September,2024,Virginia,51,Orange,230 Montevista Ave,Orange Elementary School,0,0,0,0,"0"
3027274,September,2024,Georgia,13,Covington,8187 Carlton Trail NW,Cousins Middle School,0,0,0,0,"1"
3027050,September,2024,Ohio,39,Cincinnati,2001 Baltimore Ave,LEAP Academy,0,0,0,0,"1"
3024985,September,2024,New York,36,Buffalo,1405 Sycamore St,Harvey Austin Elementary School,0,1,0,0,"1"
3022971,September,2024,Tennessee,47,Chattanooga,1849 Union Ave,Chattanooga Preparatory School,0,0,0,0,"0"
3023052,September,2024,Louisiana,22,New Orleans,501 City Park Ave,Delgado Community College,0,0,0,0,"0"
3025721,September,2024,California,06,Sacramento,6201 Lemon Hill Ave,Will C. Wood Middle School,0,0,0,0,"1"
3023962,September,2024,Georgia,13,Atlanta,225 Hamilton E Holmes Dr NW,Frederick Douglass High School,0,0,0,0,"0"
3022885,September,2024,Florida,12,Orlando,1000 E Kaley St,Boone High School,0,0,0,0,"2"
3022945,September,2024,Ohio,39,Marion,420 Presidential Dr,Grant Middle School,0,0,0,0,"1"
3022937,September,2024,Georgia,13,Duluth,3200 Pleasant Hill Rd,Duluth Middle School,0,0,0,0,"1"
3023940,September,2024,Georgia,13,Newnan,3220 Fischer Rd,Northgate High School,0,0,0,0,"1"
3023489,September,2024,Pennsylvania,42,Drexel Hill,601 N Lansdowne Ave,N/A,0,0,0,0,"1"
3022966,September,2024,New York,36,Rochester,164 Alexander St,Monroe High School,0,0,0,0,"1"
3027541,September,2024,South Carolina,45,Laurens,5058 US-76,Laurens District 55 High School,0,0,0,0,"1"
3022941,September,2024,Georgia,13,Atlanta,370 Old Ivy Rd NE,Sarah Smith Elementary School,0,0,0,0,"0"
3022896,September,2024,Florida,12,Tallahassee,800 Alabama St,Griffin Middle School,0,0,0,0,"1"
3022890,September,2024,Florida,12,Tampa,1701 N Blvd,Blake High School,0,0,0,0,"1"
3022844,September,2024,Missouri,29,Springfield,3850 N Farm Rd 159,Truman Elementary,0,1,0,0,"0"
3022737,September,2024,Oklahoma,40,Okay,8611 N 49th St E,Okay High School,0,0,0,0,"1"
3032624,September,2024,Illinois,17,Lombard,1014 S Main St,Glenbard East High School,0,0,0,0,"0"
3023512,September,2024,Texas,48,San Angelo,900 E 43rd St,Lake View High School,0,0,0,0,"1"
3021683,September,2024,South Carolina,45,Marion,1205 S Main St,Marion High School,0,0,0,0,"1"
3021508,September,2024,South Carolina,45,Chester,1330 J A Cochran Bypass,Chester Senior High School,0,0,0,0,"1"
3021579,September,2024,Tennessee,47,Bolivar,313 Harris St,Bolivar Central High School,0,0,0,0,"1"
3021873,September,2024,Kentucky,21,Louisville,4409 Preston Hwy,Louisville Male High School,0,0,0,0,"1"
3023137,September,2024,Georgia,13,Trion,919 Allgood St,Trion High School,0,1,0,0,"0"
3022412,September,2024,North Carolina,37,Durham,401 N Driver St,Holton Career and Resource Center,0,0,0,0,"1"
3023020,September,2024,Indiana,18,Anderson,2108 E 200 N,Highland Middle School,0,0,0,0,"1"
3023007,September,2024,South Dakota,46,Sioux Falls,201 West Ave,Axtell Park Middle School,0,0,0,0,"1"
3022983,September,2024,West Virginia,54,New Haven,135 Mill St,New Haven Elementary School,0,0,0,0,"1"
3021303,September,2024,Ohio,39,Cincinnati,8 Enfield St,Alternative School at Greenhills Community Building,0,0,0,0,"1"
3021397,September,2024,Florida,12,Altamonte Springs,991 Sand Lake Rd,Lake Brantley High School,0,0,0,0,"1"
