"Incident ID","Incident Date",State,"City Or County",Address,"Business/Location Name","Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
2697273,"August 31, 2023",California,"Santa Monica","1900 Pico Blvd","Santa Monica College",0,0,0,0,1,N/A
2696053,"August 30, 2023",Texas,Temple,"415 N 31st St","Temple High School",0,0,0,0,1,N/A
2695792,"August 30, 2023",Nevada,"Las Vegas","3800 E Harris Ave","Desert Pines High School",0,0,0,0,1,N/A
2694555,"August 30, 2023",Alabama,Harvest,"2680 Jeff Rd NW","Sparkman 9th Grade School",0,0,0,0,1,N/A
2695190,"August 30, 2023",Arkansas,"Fort Smith","2301 N B St","Northside High School",0,0,0,0,1,N/A
2694792,"August 29, 2023",Georgia,Atlanta,"211 Memorial Dr SE","Wesley International Academy",0,0,0,0,0,N/A
2694853,"August 29, 2023",Alaska,Anchorage,"4025 E Northern Lights Blvd","Bettye Davis East Anchorage High School",0,0,0,0,0,N/A
2692873,"August 28, 2023","North Carolina","Chapel Hill","131 South Rd","UNC / Caudill Labs",1,0,0,0,1,N/A
2692924,"August 28, 2023","North Carolina",Greensboro,"409 Friendway Rd","Western Guilford High School",0,0,0,0,1,N/A
2693383,"August 28, 2023",Arizona,Phoenix,"2620 E Liberty Ln","Kyrene de la Estrella Elementary School",0,0,0,0,0,N/A
2693380,"August 28, 2023",Louisiana,Slidell,"300 Spartan Dr","Salmen High School",0,0,0,0,1,N/A
2691403,"August 25, 2023",Alabama,Flomaton,"21200 US-31","Flomaton High School",0,0,0,0,1,N/A
2690672,"August 25, 2023",Maryland,"Hyattsville (Adelphi)","8820 Riggs Rd","Sonia Sotomayor Middle School",0,0,0,0,0,N/A
2691405,"August 25, 2023",Florida,"Lake City","469 SW Fighting Tiger Dr","Columbia High School",0,0,0,0,2,N/A
2690422,"August 25, 2023",Illinois,Cicero,"5425 W 31st St","Columbus West Elementary School",0,0,0,0,1,N/A
2690901,"August 25, 2023",Oklahoma,Choctaw,"14300 NE 10th St","Bill Jensen Field / Choctaw High School",1,2,0,0,1,N/A
2691101,"August 25, 2023","North Carolina",Greensboro,"1403 John W Mitchell Dr","NC A and T Student Center",0,1,0,0,1,N/A
2691013,"August 25, 2023",California,"Los Angeles","300 E 53rd St","Dr Maya Angelou Community High School",0,1,0,0,0,N/A
2691037,"August 25, 2023",Alabama,"Bessemer (Hueytown)","4881 15th St Rd","Hueytown High School",0,0,0,0,1,N/A
2691167,"August 25, 2023",Arizona,Goodyear,"14802 W Wigwam Blvd","Millennium High School",0,0,0,0,1,N/A
2691086,"August 25, 2023",Pennsylvania,Abington,"900 Highland Ave","Abington High School",0,0,0,0,1,N/A
2691667,"August 25, 2023",Oklahoma,Tulsa,"1514 E Zion St","Booker T Washington High School",0,0,0,0,0,N/A
2693394,"August 25, 2023",Ohio,Toledo,"701 E Central Ave","Woodward High School",0,0,0,0,2,N/A
2691060,"August 25, 2023","South Carolina",Georgetown,"2500 Anthuan Maybank Dr","Georgetown High School",0,0,0,0,1,N/A
2691614,"August 25, 2023",Georgia,Columbus,"400 4th St","A J Mc Clung Memorial Stadium",0,0,0,0,3,N/A
2690363,"August 24, 2023",Indiana,Evansville,"635 Lincoln Ave","Lincoln Elementary School",0,0,0,0,1,N/A
2690682,"August 24, 2023",Arizona,Mesa,"10045 E Madero Ave","Desert Ridge High School",0,0,0,0,1,N/A
2691265,"August 24, 2023",Louisiana,"Ville Platte","210 W Cotton St","Ville Platte High School",0,0,0,0,0,N/A
2689644,"August 24, 2023",Georgia,Marietta,"1171 Whitlock Ave NW","Marietta High School",0,0,0,0,1,N/A
2688643,"August 23, 2023",Tennessee,Clarksville,"251 E Pine Mountain Rd","Kenwood High School",0,0,0,0,1,N/A
2689510,"August 23, 2023",Texas,Lubbock,"3211 47th St","Monterey High School",0,0,0,0,0,N/A
2688223,"August 22, 2023",Texas,Seguin,"215 Short Ave","Jefferson Elementary School",0,0,0,0,0,N/A
2687858,"August 22, 2023",Tennessee,Crossville,"1219 Cook Rd","Stone Elementary School",0,0,0,0,2,N/A
2688269,"August 22, 2023","North Carolina","Winston Salem (Winston-salem)","1600 Brewer Rd","Parkland High School",0,0,0,0,1,N/A
2688410,"August 22, 2023",Alabama,Huntsville,"4900 Meridian St","Ernest L. Knight Complex",0,0,0,2,2,N/A
2693023,"August 22, 2023",Idaho,Castleford,"500 Main St","Castleford High School",0,0,0,0,1,N/A
2688931,"August 22, 2023",Indiana,Indianapolis,"2255 Ralston Ave","KIPP Indy Legacy High School",0,0,0,0,1,N/A
2688208,"August 22, 2023",Ohio,Hamden,"38234 OH-93","South Elementary",0,0,0,0,1,N/A
2689995,"August 21, 2023",Illinois,Palatine,"1111 N Rohlwing Rd","Palatine High School",0,0,0,0,1,N/A
2687211,"August 21, 2023",Florida,Bradenton,"1200 37th Ave E","Southeast High School",0,0,0,0,1,N/A
2688011,"August 21, 2023",Florida,"Coconut Creek","1400 NW 44th Ave","Coconut Creek High School",0,0,0,0,1,N/A
2686804,"August 21, 2023",Louisiana,Rayville,"193 LA-3048","Rayville High School",0,0,0,0,0,N/A
2686718,"August 21, 2023","South Carolina","Goose Creek","98 Westview Blvd","Westview Primary School",0,0,0,0,2,N/A
2687564,"August 21, 2023",Arkansas,Fayetteville,"994 MLK Jr Blvd","Fayetteville High School",0,0,0,0,0,N/A
2691160,"August 19, 2023","South Carolina",Orangeburg,"300 College Ave","South Carolina State University",0,0,0,0,1,N/A
2691152,"August 19, 2023","South Carolina",Orangeburg,"300 College Ave","South Carolina State University",0,0,0,0,1,N/A
2691157,"August 19, 2023","South Carolina",Orangeburg,"300 College Ave","South Carolina State University",0,0,0,0,1,N/A
2691148,"August 19, 2023","South Carolina",Orangeburg,"Geathers St","South Carolina State University",0,0,0,0,1,N/A
2718220,"August 18, 2023",Georgia,Columbus,"4150 Cusseta Rd","Odis Spencer Stadium",0,0,0,0,1,N/A
2687314,"August 18, 2023",Indiana,Indianapolis,"1500 E Michigan St","Arsenal Technical High School",0,0,0,0,1,N/A
2684781,"August 18, 2023",Ohio,"Canal Winchester","300 Washington St","Canal Winchester High School",0,0,0,0,3,N/A
2685423,"August 18, 2023",Tennessee,Nashville,"1800 Stratford Ave","Stratford High School",0,0,0,0,1,N/A
2684319,"August 18, 2023",Georgia,Columbus,"38 Clearview Cir","LeNoir Hall Annex",1,0,1,0,0,N/A
2685344,"August 18, 2023",Georgia,Jonesboro,"1055 Battle Creek Rd","Tara Stadium",0,1,0,0,0,N/A
2691234,"August 18, 2023",California,"Simi Valley","1402 Royal Ave","Royal High School",0,0,0,0,1,N/A
2684343,"August 18, 2023","South Carolina",Cheraw,"1010 W Greene St","Long Middle School",0,0,0,0,1,N/A
2685465,"August 18, 2023",Florida,Jacksonville,"590 Duval Station Rd","First Coast High School",0,0,0,1,0,N/A
2686726,"August 18, 2023","South Carolina",Summerville,"850 S Magnolia St","John McKissick Field at Memorial Stadium",0,0,0,0,1,N/A
2685802,"August 18, 2023",California,"Rancho Cucamonga","13500 Victoria St","Etiwanda High School",0,1,0,0,0,N/A
2684001,"August 17, 2023",Texas,Midland,"906 W Illinois Ave","Midland High School",0,0,0,0,1,N/A
2702845,"August 17, 2023","North Carolina",Statesville,"213 Warrior Dr","West Iredell High School",0,0,0,0,1,N/A
